date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:49:03	2106/2106	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2002%20May%202019%2014:48:41%20GMT	http://imperiaskygardennminhkhai.vn/wp-content/themes/enfold/js/avia-compat.js?ver=2	/home/cuongdm/Desktop/minhkhai/imperiaskygardennminhkhai.vn/wp-content/themes/enfold/js/avia-compat77ae.js	(from http://imperiaskygardennminhkhai.vn/)
23:49:06	156559/156559	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2002%20May%202019%2014:48:38%20GMT	http://imperiaskygardennminhkhai.vn/wp-includes/js/mediaelement/mediaelement-and-player.min.js?ver=4.2.6-78496d1	/home/cuongdm/Desktop/minhkhai/imperiaskygardennminhkhai.vn/wp-includes/js/mediaelement/mediaelement-and-player.min45a0.js	(from http://imperiaskygardennminhkhai.vn/)
23:49:06	1193/1193	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2002%20May%202019%2014:48:38%20GMT	http://imperiaskygardennminhkhai.vn/wp-includes/js/mediaelement/mediaelement-migrate.min.js?ver=4.9.13	/home/cuongdm/Desktop/minhkhai/imperiaskygardennminhkhai.vn/wp-includes/js/mediaelement/mediaelement-migrate.minc8f9.js	(from http://imperiaskygardennminhkhai.vn/)
23:49:10	59709/59709	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2002%20May%202019%2014:48:39%20GMT	http://imperiaskygardennminhkhai.vn/wp-content/themes/enfold/config-layerslider/LayerSlider/static/js/greensock.js?ver=1.11.8	/home/cuongdm/Desktop/minhkhai/imperiaskygardennminhkhai.vn/wp-content/themes/enfold/config-layerslider/LayerSlider/static/js/greensockcd11.js	(from http://imperiaskygardennminhkhai.vn/)
23:49:12	54687/54687	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2002%20May%202019%2014:48:39%20GMT	http://imperiaskygardennminhkhai.vn/wp-content/themes/enfold/config-layerslider/LayerSlider/static/js/layerslider.kreaturamedia.jquery.js?ver=5.6.8	/home/cuongdm/Desktop/minhkhai/imperiaskygardennminhkhai.vn/wp-content/themes/enfold/config-layerslider/LayerSlider/static/js/layerslider.kreaturamedia.jquery76f9.js	(from http://imperiaskygardennminhkhai.vn/)
23:49:12	21096/21096	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2002%20May%202019%2014:48:39%20GMT	http://imperiaskygardennminhkhai.vn/wp-content/themes/enfold/config-layerslider/LayerSlider/static/js/layerslider.transitions.js?ver=5.6.8	/home/cuongdm/Desktop/minhkhai/imperiaskygardennminhkhai.vn/wp-content/themes/enfold/config-layerslider/LayerSlider/static/js/layerslider.transitions76f9.js	(from http://imperiaskygardennminhkhai.vn/)
23:49:12	902/902	---M-Z	200	added ('OK')	text/xml	date:Tue,%2004%20Feb%202020%2016:49:10%20GMT	http://imperiaskygardennminhkhai.vn/xmlrpc.php?rsd	/home/cuongdm/Desktop/minhkhai/imperiaskygardennminhkhai.vn/xmlrpc0db0.php	(from http://imperiaskygardennminhkhai.vn/)
23:49:12	55310/55310	---MCZ	200	added ('OK')	application/json	date:Tue,%2004%20Feb%202020%2016:49:11%20GMT	http://imperiaskygardennminhkhai.vn/wp-json/	/home/cuongdm/Desktop/minhkhai/imperiaskygardennminhkhai.vn/wp-json/index.html	(from http://imperiaskygardennminhkhai.vn/)
23:49:12	1045/1045	---M-Z	200	added ('OK')	application/xml	date:Thu,%2002%20May%202019%2014:48:39%20GMT	http://imperiaskygardennminhkhai.vn/wp-includes/wlwmanifest.xml	/home/cuongdm/Desktop/minhkhai/imperiaskygardennminhkhai.vn/wp-includes/wlwmanifest.xml	(from http://imperiaskygardennminhkhai.vn/)
23:49:13	2269/2269	---M-Z	200	added ('OK')	application/json	date:Tue,%2004%20Feb%202020%2016:49:13%20GMT	http://imperiaskygardennminhkhai.vn/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fimperiaskygardennminhkhai.vn%2F	/home/cuongdm/Desktop/minhkhai/imperiaskygardennminhkhai.vn/wp-json/oembed/1.0/embed6566.json	(from http://imperiaskygardennminhkhai.vn/)
